Node Name,Entrez Gene ID,source,source id,type,,
AR,367,GO,GO:0060520,biological process,,
AR,367,GO,GO:0060571,biological process,,
AR,367,GO,GO:0060599,biological process,,
AR,367,GO,GO:0060685,biological process,,
AR,367,GO,GO:0060736,biological process,,
AR,367,GO,GO:0060740,biological process,,
AR,367,GO,GO:0060742,biological process,,
AR,367,GO,GO:0060748,biological process,,
AR,367,GO,GO:0060749,biological process,,
AR,367,GO,GO:0071383,biological process,,
AR,367,GO,GO:0090003,biological process,,
AR,367,GO,GO:2001237,biological process,,
UBE3A,7337,Entrez,7337,,,
UBE3A,7337,OMIM,601623,,,
UBE3A,7337,GO,GO:0003713,molecular function,,
UBE3A,7337,GO,GO:0004842,molecular function,,
UBE3A,7337,GO,GO:0005515,molecular function,,
UBE3A,7337,GO,GO:0000502,localization,,
UBE3A,7337,GO,GO:0005634,localization,,
UBE3A,7337,GO,GO:0005737,localization,,
UBE3A,7337,GO,GO:0005829,localization,,
UBE3A,7337,GO,GO:0001541,biological process,,
UBE3A,7337,GO,GO:0006508,biological process,,
UBE3A,7337,GO,GO:0006511,biological process,,
UBE3A,7337,GO,GO:0007420,biological process,,
UBE3A,7337,GO,GO:0014068,biological process,,
UBE3A,7337,GO,GO:0016032,biological process,,
UBE3A,7337,GO,GO:0016567,biological process,,
UBE3A,7337,GO,GO:0019048,biological process,,
UBE3A,7337,GO,GO:0030521,biological process,,
UBE3A,7337,GO,GO:0035037,biological process,,
UBE3A,7337,GO,GO:0042787,biological process,,
UBE3A,7337,GO,GO:0045944,biological process,,
UBE3A,7337,GO,GO:0060736,biological process,,
UBE3A,7337,GO,GO:0070936,biological process,,
PIK3CB,5291,Entrez,5291,,,
PIK3CB,5291,OMIM,602925,,,
PIK3CB,5291,GO,GO:0005488,molecular function,,
PIK3CB,5291,GO,GO:0005515,molecular function,,
PIK3CB,5291,GO,GO:0005524,molecular function,,
PIK3CB,5291,GO,GO:0016301,molecular function,,
PIK3CB,5291,GO,GO:0016303,molecular function,,
PIK3CB,5291,GO,GO:0016772,molecular function,,
PIK3CB,5291,GO,GO:0016773,molecular function,,
PIK3CB,5291,GO,GO:0035004,molecular function,,
PIK3CB,5291,GO,GO:0035005,molecular function,,
PIK3CB,5291,GO,GO:0043560,molecular function,,
PIK3CB,5291,GO,GO:0046934,molecular function,,
PIK3CB,5291,GO,GO:0005634,localization,,
PIK3CB,5291,GO,GO:0005829,localization,,
PIK3CB,5291,GO,GO:0005886,localization,,
PIK3CB,5291,GO,GO:0005942,localization,,
PIK3CB,5291,GO,GO:0000187,biological process,,
PIK3CB,5291,GO,GO:0001952,biological process,,
PIK3CB,5291,GO,GO:0006644,biological process,,
PIK3CB,5291,GO,GO:0006661,biological process,,
PIK3CB,5291,GO,GO:0006874,biological process,,
PIK3CB,5291,GO,GO:0006914,biological process,,
PIK3CB,5291,GO,GO:0006935,biological process,,
PIK3CB,5291,GO,GO:0007156,biological process,,
PIK3CB,5291,GO,GO:0007165,biological process,,
PIK3CB,5291,GO,GO:0007169,biological process,,
PIK3CB,5291,GO,GO:0007173,biological process,,
PIK3CB,5291,GO,GO:0007186,biological process,,
PIK3CB,5291,GO,GO:0007596,biological process,,
PIK3CB,5291,GO,GO:0008286,biological process,,
PIK3CB,5291,GO,GO:0008543,biological process,,
PIK3CB,5291,GO,GO:0010508,biological process,,
PIK3CB,5291,GO,GO:0014065,biological process,,
PIK3CB,5291,GO,GO:0016477,biological process,,
PIK3CB,5291,GO,GO:0030168,biological process,,
PIK3CB,5291,GO,GO:0036092,biological process,,
PIK3CB,5291,GO,GO:0038095,biological process,,
PIK3CB,5291,GO,GO:0038096,biological process,,
PIK3CB,5291,GO,GO:0040016,biological process,,
PIK3CB,5291,GO,GO:0044281,biological process,,
PIK3CB,5291,GO,GO:0045087,biological process,,
PIK3CB,5291,GO,GO:0046854,biological process,,
PIK3CB,5291,GO,GO:0048011,biological process,,
PIK3CB,5291,GO,GO:0048015,biological process,,
PIK3CB,5291,GO,GO:0050852,biological process,,
PIK3CB,5291,GO,GO:0050900,biological process,,
PIK3CB,5291,GO,GO:0070527,biological process,,
PIK3CB,5291,GO,GO:2000369,biological process,,
PREX1,57580,Entrez,57580,,,
PREX1,57580,OMIM,606905,,,
PREX1,57580,GO,GO:0005089,molecular function,,
PREX1,57580,GO,GO:0005100,molecular function,,
PREX1,57580,GO,GO:0005515,molecular function,,
PREX1,57580,GO,GO:0005543,molecular function,,
PREX1,57580,GO,GO:0019899,molecular function,,
PREX1,57580,GO,GO:0005737,localization,,
PREX1,57580,GO,GO:0005829,localization,,
PREX1,57580,GO,GO:0005886,localization,,
PREX1,57580,GO,GO:0030426,localization,,
PREX1,57580,GO,GO:0043198,localization,,
PREX1,57580,GO,GO:0043231,localization,,
PREX1,57580,GO,GO:0048471,localization,,
PREX1,57580,GO,GO:0006801,biological process,,
PREX1,57580,GO,GO:0030041,biological process,,
PREX1,57580,GO,GO:0030833,biological process,,
PREX1,57580,GO,GO:0032319,biological process,,
PREX1,57580,GO,GO:0032321,biological process,,
PREX1,57580,GO,GO:0035023,biological process,,
PREX1,57580,GO,GO:0035556,biological process,,
PREX1,57580,GO,GO:0042119,biological process,,
PREX1,57580,GO,GO:0050773,biological process,,
PRKACG,5568,Entrez,5568,,,
PRKACG,5568,OMIM,176893,,,
PRKACG,5568,GO,GO:0004672,molecular function,,
PRKACG,5568,GO,GO:0004674,molecular function,,
PRKACG,5568,GO,GO:0004691,molecular function,,
PRKACG,5568,GO,GO:0004713,molecular function,,
PRKACG,5568,GO,GO:0005524,molecular function,,
PRKACG,5568,GO,GO:0016772,molecular function,,
PRKACG,5568,GO,GO:0005829,localization,,
PRKACG,5568,GO,GO:0005975,biological process,,
PRKACG,5568,GO,GO:0006006,biological process,,
PRKACG,5568,GO,GO:0006094,biological process,,
PRKACG,5568,GO,GO:0006112,biological process,,
PRKACG,5568,GO,GO:0006468,biological process,,
PRKACG,5568,GO,GO:0006833,biological process,,
PRKACG,5568,GO,GO:0007165,biological process,,
PRKACG,5568,GO,GO:0007173,biological process,,
PRKACG,5568,GO,GO:0007202,biological process,,
PRKACG,5568,GO,GO:0007283,biological process,,
PRKACG,5568,GO,GO:0007596,biological process,,
PRKACG,5568,GO,GO:0008543,biological process,,
PRKACG,5568,GO,GO:0008584,biological process,,
PRKACG,5568,GO,GO:0019433,biological process,,
PRKACG,5568,GO,GO:0034199,biological process,,
PRKACG,5568,GO,GO:0035556,biological process,,
PRKACG,5568,GO,GO:0044281,biological process,,
PRKACG,5568,GO,GO:0045087,biological process,,
PRKACG,5568,GO,GO:0048011,biological process,,
PRKACG,5568,GO,GO:0050796,biological process,,
PRKACG,5568,GO,GO:0055085,biological process,,
PRKACG,5568,GO,GO:0071377,biological process,,
CTNNB1,1499,Entrez,1499,,,
CTNNB1,1499,OMIM,116806,,,
CTNNB1,1499,GO,GO:0001102,molecular function,,
CTNNB1,1499,GO,GO:0003677,molecular function,,
CTNNB1,1499,GO,GO:0003682,molecular function,,
CTNNB1,1499,GO,GO:0003690,molecular function,,
CTNNB1,1499,GO,GO:0003700,molecular function,,
CTNNB1,1499,GO,GO:0003713,molecular function,,
CTNNB1,1499,GO,GO:0004871,molecular function,,
CTNNB1,1499,GO,GO:0005198,molecular function,,
CTNNB1,1499,GO,GO:0005488,molecular function,,
CTNNB1,1499,GO,GO:0005515,molecular function,,
CTNNB1,1499,GO,GO:0008022,molecular function,,
CTNNB1,1499,GO,GO:0008134,molecular function,,
CTNNB1,1499,GO,GO:0019899,molecular function,,
CTNNB1,1499,GO,GO:0019900,molecular function,,
CTNNB1,1499,GO,GO:0019901,molecular function,,
CTNNB1,1499,GO,GO:0019903,molecular function,,
CTNNB1,1499,GO,GO:0030331,molecular function,,
CTNNB1,1499,GO,GO:0032403,molecular function,,
CTNNB1,1499,GO,GO:0035255,molecular function,,
CTNNB1,1499,GO,GO:0035257,molecular function,,
CTNNB1,1499,GO,GO:0044212,molecular function,,
CTNNB1,1499,GO,GO:0044325,molecular function,,
CTNNB1,1499,GO,GO:0045294,molecular function,,
CTNNB1,1499,GO,GO:0045296,molecular function,,
CTNNB1,1499,GO,GO:0046332,molecular function,,
CTNNB1,1499,GO,GO:0050681,molecular function,,
CTNNB1,1499,GO,GO:0070411,molecular function,,
CTNNB1,1499,GO,GO:0070412,molecular function,,
CTNNB1,1499,GO,GO:0070491,molecular function,,
CTNNB1,1499,GO,GO:0000922,localization,,
CTNNB1,1499,GO,GO:0005634,localization,,
CTNNB1,1499,GO,GO:0005654,localization,,
CTNNB1,1499,GO,GO:0005667,localization,,
