No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
1614,SLC2A7,155184,1,63,1.587301587
1615,SLC32A1,140679,1,63,1.587301587
1616,SLC34A1,6569,1,63,1.587301587
1617,SLC35F3,148641,1,63,1.587301587
1618,SLC39A12,221074,1,63,1.587301587
1619,SLC39A7,7922,2,63,3.174603175
1620,SLC39A9,55334,1,63,1.587301587
1621,SLC3A1,6519,1,63,1.587301587
1622,SLC41A2,84102,1,63,1.587301587
1623,SLC41A3,54946,1,63,1.587301587
1624,SLC44A1,23446,3,63,4.761904762
1625,SLC44A3,126969,1,63,1.587301587
1626,SLC44A4,80736,1,63,1.587301587
1627,SLC4A1AP,22950,1,63,1.587301587
1628,SLC4A4,8671,1,63,1.587301587
1629,SLC4A5,57835,1,63,1.587301587
1630,SLC4A7,9497,1,63,1.587301587
1631,SLC5A1,6523,1,63,1.587301587
1632,SLC6A19,340024,1,63,1.587301587
1633,SLC6A2,6530,1,63,1.587301587
1634,SLC7A11,23657,1,63,1.587301587
1635,SLC7A13,157724,1,63,1.587301587
1636,SLC7A4,6545,1,63,1.587301587
1637,SLC7A6,9057,1,63,1.587301587
1638,SLC9A11,284525,1,63,1.587301587
1639,SLC9A5,6553,1,63,1.587301587
1640,SLC9A9,285195,2,63,3.174603175
1641,SLFN11,91607,1,63,1.587301587
1642,SLFN12,55106,1,63,1.587301587
1643,SLFN12L,100506736,1,63,1.587301587
1644,SLFN5,162394,1,63,1.587301587
1645,SLITRK1,114798,1,63,1.587301587
1646,SLITRK4,139065,1,63,1.587301587
1647,SLITRK6,84189,1,63,1.587301587
1648,SLK,9748,1,63,1.587301587
1649,SMAD7,4092,1,63,1.587301587
1650,SMAP1,60682,1,63,1.587301587
1651,SMARCA4,6597,1,63,1.587301587
1652,SMARCAD1,56916,1,63,1.587301587
1653,SMARCE1,6605,1,63,1.587301587
1654,SMC2,10592,1,63,1.587301587
1655,SMC3,9126,1,63,1.587301587
1656,SMG5,23381,3,63,4.761904762
1657,SMG8,55181,1,63,1.587301587
1658,SMPD1,6609,1,63,1.587301587
1659,SMYD1,150572,1,63,1.587301587
1660,SMYD4,114826,1,63,1.587301587
1661,SMYD5,10322,1,63,1.587301587
1662,SNAPC5,10302,1,63,1.587301587
1663,SNED1,25992,1,63,1.587301587
1664,SNRK,54861,1,63,1.587301587
1665,SNRPD2,6633,1,63,1.587301587
1666,SNTA1,6640,1,63,1.587301587
1667,SNX33,257364,1,63,1.587301587
1668,SOCS6,9306,1,122,0.819672131
1669,SORCS3,22986,1,63,1.587301587
1670,SORL1,6653,1,63,1.587301587
1671,SORT1,6272,1,63,1.587301587
1672,SOS1,6654,2,122,1.639344262
1673,SOX6,55553,1,63,1.587301587
1674,SOX9,6662,1,63,1.587301587
1675,SP3,6670,1,63,1.587301587
1676,SPAG17,200162,2,63,3.174603175
1677,SPAG9,9043,1,122,0.819672131
1678,SPARCL1,8404,1,63,1.587301587
1679,SPATA13,221178,1,63,1.587301587
1680,SPATA16,83893,2,63,3.174603175
1681,SPATA18,132671,1,63,1.587301587
1682,SPATA2L,124044,1,63,1.587301587
1683,SPECC1,92521,1,63,1.587301587
1684,SPECC1L,23384,1,63,1.587301587
1685,SPEN,23013,1,63,1.587301587
1686,SPG7,6687,1,63,1.587301587
1687,SPHKAP,80309,3,63,4.761904762
1688,SPICE1,152185,1,63,1.587301587
1689,SPIRE1,56907,1,63,1.587301587
1690,SPOCK3,50859,1,63,1.587301587
1691,SPRR1A,6698,2,63,3.174603175
1692,SPRR1B,6699,1,63,1.587301587
1693,SPTA1,6708,1,63,1.587301587
1694,SPTB,6710,1,63,1.587301587
1695,SPTBN1,6711,1,63,1.587301587
1696,SREBF2,6721,1,63,1.587301587
1697,SRGAP2,23380,1,63,1.587301587
1698,SRP72,6731,1,63,1.587301587
1699,SRPK3,26576,1,63,1.587301587
1700,SRRM2,23524,1,63,1.587301587
1701,SRSF12,135295,1,63,1.587301587
1702,SRSF6,6431,1,63,1.587301587
1703,SSH1,54434,1,63,1.587301587
1704,ST5,6764,1,63,1.587301587
1705,ST6GALNAC3,256435,1,63,1.587301587
1706,ST8SIA3,51046,1,63,1.587301587
1707,STAB2,55576,2,63,3.174603175
1708,STAG2,10735,1,63,1.587301587
1709,STAT1,6772,1,122,0.819672131
1710,STAT3,6774,1,122,0.819672131
1711,STAU2,27067,1,63,1.587301587
1712,STK17A,9263,1,63,1.587301587
1713,STK3,6788,1,122,0.819672131
1714,STK32C,282974,1,122,0.819672131
1715,STMN1,3925,1,63,1.587301587
1716,STX1B,112755,1,63,1.587301587
1717,STX2,2054,2,63,3.174603175
1718,STX4,6810,1,63,1.587301587
1719,STXBP3,6814,1,63,1.587301587
1720,STXBP5L,9515,1,63,1.587301587
1721,SUGP2,10147,1,63,1.587301587
1722,SULF1,23213,1,63,1.587301587
1723,SULT1A2,6799,1,63,1.587301587
1724,SUPT3H,8464,1,63,1.587301587
1725,SUPV3L1,6832,1,63,1.587301587
1726,SURF5,6837,1,63,1.587301587
1727,SUV420H1,51111,2,63,3.174603175
1728,SWT1,54823,1,63,1.587301587
1729,SYNE1,23345,4,63,6.349206349
1730,SYNE2,23224,3,63,4.761904762
1731,SYNJ1,8867,1,63,1.587301587
1732,SYPL2,284612,1,63,1.587301587
1733,SYTL2,54843,1,63,1.587301587
1734,SZT2,23334,3,63,4.761904762
1735,TAB1,10454,1,122,0.819672131
1736,TAB2,23118,1,63,1.587301587
1737,TACC2,10579,1,63,1.587301587
1738,TAF1,6872,2,63,3.174603175
1739,TAF1B,9014,1,63,1.587301587
1740,TAF1L,138474,1,63,1.587301587
1741,TAF2,6873,1,63,1.587301587
1742,TAF5,6877,1,63,1.587301587
1743,TAF6,6878,1,63,1.587301587
1744,TAF7L,54457,1,63,1.587301587
1745,TAF9,6880,1,63,1.587301587
1746,TANC1,85461,1,63,1.587301587
1747,TAOK2,9344,1,63,1.587301587
1748,TAS2R1,50834,2,63,3.174603175
1749,TAS2R42,353164,1,63,1.587301587
1750,TAS2R60,338398,1,63,1.587301587
1751,TAT,6898,1,63,1.587301587
1752,TBC1D19,55296,1,63,1.587301587
1753,TBC1D4,9882,1,63,1.587301587
1754,TBC1D5,9779,1,63,1.587301587
1755,TBC1D7,51256,1,63,1.587301587
1756,TBX1,6899,1,63,1.587301587
1757,TBX22,50945,1,122,0.819672131
1758,TBXAS1,6916,1,63,1.587301587
1759,TCEB3B,51224,1,63,1.587301587
1760,TCF12,6938,1,63,1.587301587
1761,TCF25,22980,1,63,1.587301587
1762,TCF4,6925,1,122,0.819672131
1763,TCTN3,26123,1,63,1.587301587
1764,TDO2,6999,3,63,4.761904762
1765,TDRD1,56165,1,63,1.587301587
1766,TDRD6,221400,1,63,1.587301587
1767,TDRKH,11022,1,63,1.587301587
1768,TECTA,7007,1,63,1.587301587
1769,TEK,7010,2,122,1.639344262
1770,TERT,7015,1,63,1.587301587
1771,TEX13B,56156,1,63,1.587301587
1772,TEX2,55852,1,63,1.587301587
1773,TF,7018,1,63,1.587301587
1774,TFDP1,7027,1,63,1.587301587
1775,TG,7038,2,63,3.174603175
1776,TGFBI,7045,4,63,6.349206349
1777,TGM3,7053,1,63,1.587301587
1778,THEG,51298,1,63,1.587301587
1779,THOC5,8563,1,122,0.819672131
1780,THSD1,55901,2,63,3.174603175
1781,THSD4,79875,1,63,1.587301587
1782,THSD7B,80731,1,63,1.587301587
1783,THY1,7070,1,63,1.587301587
1784,TICAM1,148022,1,63,1.587301587
1785,TINAG,27283,1,63,1.587301587
1786,TINAGL1,64129,1,63,1.587301587
1787,TIPARP,25976,1,122,0.819672131
1788,TJP1,7082,1,63,1.587301587
1789,TLCD1,116238,2,63,3.174603175
1790,TLK2,11011,1,63,1.587301587
1791,TLL2,7093,1,63,1.587301587
1792,TLR10,81793,1,122,0.819672131
1793,TLR5,7100,1,122,0.819672131
1794,TLR7,51284,1,122,0.819672131
1795,TLX1,3195,1,122,0.819672131
1796,TM7SF4,81501,1,63,1.587301587
